Query_SMILES	Query_ID	Analogues_SMILES	Analogues_ID	MGT_layer	ChemicalSpace	maccs	pharm2d
C=Cc1cn[nH]c1	mol_ID_65	C=Cc1cn[nH]c1	mol_ID_65	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C=Cc1cn[nH]c1	mol_ID_65	C=Cc1ccn[nH]1	mol_ID_73	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.95	0.67
Cc1noc(C)c1Cl	mol_ID_66	C#Cc1c(C)noc1C	mol_ID_11	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.81	1.00
Cc1noc(C)c1Cl	mol_ID_66	C=Cc1c(C)noc1C	mol_ID_19	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.79	1.00
Cc1noc(C)c1Cl	mol_ID_66	Cc1noc(C)c1Cl	mol_ID_66	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Cc1noc(C)c1Cl	mol_ID_66	Cc1noc(C)c1Br	mol_ID_74	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.93	1.00
Cc1noc(C)c1Cl	mol_ID_66	Cn1cc(I)c[n+]1C	mol_ID_79	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.53	0.67
Cc1noc(C)c1Cl	mol_ID_66	Cc1noc(C)c1I	mol_ID_82	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.93	1.00
Cc1noc(C)c1Cl	mol_ID_66	Cn1cc(Br)c[n+]1C	mol_ID_124	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.53	0.67
Cc1noc(C)c1Cl	mol_ID_66	Cc1o[n+](C)c(C)c1I	mol_ID_127	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.71	0.67
Cc1noc(C)c1Cl	mol_ID_66	Cn1cc(Cl)c[n+]1C	mol_ID_131	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	0.67
Cc1noc(C)c1Cl	mol_ID_66	Cn1cc(Cl)[n+](C)c1	mol_ID_138	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	0.67
N#Cc1nccs1	mol_ID_67	N#Cc1ncco1	mol_ID_34	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	1.00
N#Cc1nccs1	mol_ID_67	N#Cc1ncc[nH]1	mol_ID_40	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	0.58
N#Cc1nccs1	mol_ID_67	N#Cc1nccs1	mol_ID_67	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ccncc1	mol_ID_68	Clc1ccncc1	mol_ID_20	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.85	1.00
Ic1ccncc1	mol_ID_68	C=Cc1ccncc1	mol_ID_37	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.57	1.00
Ic1ccncc1	mol_ID_68	Brc1ccncc1	mol_ID_44	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.85	1.00
Ic1ccncc1	mol_ID_68	C#Cc1ccncc1	mol_ID_61	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
Ic1ccncc1	mol_ID_68	Ic1ccncc1	mol_ID_68	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Ic1ccncc1	mol_ID_68	C[n+]1ccnc(I)c1	mol_ID_98	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.50	0.67
Clc1ncccn1	mol_ID_69	C#Cc1ncccn1	mol_ID_7	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	1.00
Clc1ncccn1	mol_ID_69	Brc1ncccn1	mol_ID_14	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.89	1.00
Clc1ncccn1	mol_ID_69	Ic1ncccn1	mol_ID_30	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.89	1.00
Clc1ncccn1	mol_ID_69	Clc1ncccn1	mol_ID_69	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
Clc1ncccn1	mol_ID_69	C=Cc1ncccn1	mol_ID_70	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.62	1.00
Clc1ncccn1	mol_ID_69	Clc1ccncn1	mol_ID_77	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.94	0.60
C#Cc1ncccn1	mol_ID_7	C#Cc1ncccn1	mol_ID_7	2ndMGT_scafhop	SpotX_std_scaffold.txt	1.00	1.00
C#Cc1ncccn1	mol_ID_7	Brc1ncccn1	mol_ID_14	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	1.00
C#Cc1ncccn1	mol_ID_7	Ic1ncccn1	mol_ID_30	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	1.00
C#Cc1ncccn1	mol_ID_7	Clc1ncccn1	mol_ID_69	2ndMGT_scafhop	SpotX_std_scaffold.txt	0.65	1.00
